"","county_fips","county","state","self_employed","divorce_marriage","living_alone","living_alone_65over","living_grandchildren","carpool_drive_alone","libertarian16","religious_adherents","living_alone_reverse","living_alone_65over_reverse","divorce_marriage_reverse","libertarian_vote_reverse","self_employed_reverse","county_collectivism_raw","county_collectivism_score"
"388",13083,"Dade","Georgia",0.126396154,0.153856091,0.235100428,0.12627593,0.037037037,0.080809923,0.036206344,0.401882961,0.764899572,0.87372407,6.49958018236665,0.963793656,0.873603846,0.77095752980528,31.9185271109827
"389",13085,"Dawson","Georgia",0.101514261,0.224759805,0.229527216,0.110702891,0.0386053,0.129542023,0.030259244,0.474774237,0.770472784,0.889297109,4.44919410746063,0.969740756,0.898485739,2.55398587917394,35.8181801611761
"390",13087,"Decatur","Georgia",0.093452866,0.274882964,0.288586693,0.125206411,0.061253725,0.136896129,0.01224966,0.543365002,0.711413307,0.874793589,3.63791187874415,0.98775034,0.906547134,3.8990010907997,38.759856705147
"391",13089,"De Kalb","Georgia",0.088607432,0.308839809,0.343209356,0.101503178,0.040391024,0.147236571,0.030709404,0.509279392,0.656790644,0.898496822,3.23792455136507,0.969290596,0.911392568,0.885343834056129,32.168700867575
"392",13091,"Dodge","Georgia",0.086697723,0.389363583,0.263468523,0.137106538,0.054793494,0.109377463,0.019688971,0.657515684,0.736531477,0.862893462,2.56829360438673,0.980311029,0.913302277,2.85267593040962,36.4714437897528
"393",13093,"Dooly","Georgia",0.114957049,0.365277778,0.241087932,0.113546343,0.029127448,0.103513174,0.009328842,0.514543183,0.758912068,0.886453657,2.73764258388584,0.990671158,0.885042951,1.91465697192871,34.419906867261
"394",13095,"Dougherty","Georgia",0.077238203,0.471145154,0.377544725,0.143503422,0.036083831,0.130358236,0.013934931,0.552173913,0.622455275,0.856496578,2.1224881366391,0.986065069,0.922761797,-0.306875865549654,29.5612026807321
"395",13097,"Douglas","Georgia",0.089342629,0.264662535,0.238724482,0.074992087,0.065237729,0.107112045,0.027607468,0.537677572,0.761275518,0.925007913,3.77839651539648,0.972392532,0.910657371,4.89793301026961,40.9446160826834
"396",13099,"Early","Georgia",0.066463128,0.249573136,0.291583665,0.128486056,0.021296015,0.185832567,0.013584117,0.512345679,0.708416335,0.871513944,4.00684150556973,0.986415883,0.933536872,2.8268376877308,36.4149330887817
"397",13101,"Echols","Georgia",0.146764861,0.243658211,0.214343928,0.083129584,0.154628688,0.038101187,0.010998308,0.158777387,0.785656072,0.916870416,4.10410958816405,0.989001692,0.853235139,7.21053986721326,46.0025078356506
"398",13103,"Effingham","Georgia",0.07005957,0.195883088,0.226687117,0.058238387,0.027845224,0.079808877,0.028945349,0.340595038,0.773312883,0.941761613,5.1050859480018,0.971054651,0.92994043,2.91263612736553,36.6025824589905
"399",13105,"Elbert","Georgia",0.108174771,0.251863079,0.28743808,0.142893433,0.032354327,0.131073785,0.01740328,0.629322198,0.71256192,0.857106567,3.97041124078373,0.98259672,0.891825229,1.64778069464193,33.8362229964386
"400",13107,"Emanuel","Georgia",0.126604307,0.402455478,0.285182069,0.13556063,0.042599912,0.180573759,0.009541985,0.314256852,0.714817931,0.86443937,2.48474689664927,0.990458015,0.873395693,1.17507761388047,32.8023762764019
"401",13109,"Evans","Georgia",0.109169315,0.317199654,0.299182422,0.14333163,0.029037828,0.137290715,0.018820924,0.477538519,0.700817578,0.85666837,3.15258855862434,0.981179076,0.890830685,0.0180954421528222,30.271945923685
"402",13111,"Fannin","Georgia",0.198116044,0.226985456,0.270415821,0.143727377,0.030422927,0.134191664,0.018794446,0.785931514,0.729584179,0.856272623,4.40556861052807,0.981205554,0.801883956,1.02733393942272,32.479246769824
"403",13113,"Fayette","Georgia",0.112441323,0.15193472,0.184970155,0.103711994,0.034002706,0.089708641,0.03452465,0.738157961,0.815029845,0.896288006,6.58177406717833,0.96547535,0.887558677,4.51656483782497,40.1105275178846
"404",13115,"Floyd","Georgia",0.094873441,0.263146563,0.262890321,0.11987443,0.041918499,0.126143293,0.031322238,0.624695691,0.737109679,0.88012557,3.80016363732632,0.968677762,0.905126559,2.31799397315886,35.3020433558143
"405",13117,"Forsyth","Georgia",0.121520232,0.138241959,0.151366611,0.061810493,0.026243396,0.09560343,0.041650971,0.420299025,0.848633389,0.938189507,7.2336937875714,0.958349029,0.878479768,3.91774029769298,38.8008411378092
"406",13119,"Franklin","Georgia",0.091109942,0.280699894,0.235859,0.097435297,0.049293371,0.150588554,0.020818631,0.602416325,0.764141,0.902564703,3.56252361107055,0.979181369,0.908890058,4.9042573804019,40.9584480833275
"407",13121,"Fulton","Georgia",0.113627098,0.27414131,0.378553241,0.094081037,0.026124507,0.092256779,0.036544573,0.672080509,0.621446759,0.905918963,3.64775378070529,0.963455427,0.886372902,-1.22335876982911,27.5567671627051
