"","county.fips","state","county","people.living.alone","elder.living.alone","family.with.grandchild","marry.divorce.ratio","non.religious.ratio","self.employed.rate","voting.for.libertarian","people.living.alone_zscore","elder.living.alone_zscore","family.with.grandchild_zscore","marry.divorce.ratio_zscore","non.religious.ratio_zscore","self.employed.rate_zscore","voting.for.libertarian_zscore","score"
"35",1069,"Alabama","Houston",0.306825648,0.270342499,0.064071055,3.533834586,0.158196675,0.120249167,0.012831283,0.326732435091354,-0.171767782807693,0.270909463022095,-0.496558027914703,-1.80363912910742,0.567572617508721,-1.28850458490272,3.13707393515455
"36",1071,"Alabama","Jackson",0.288419807,0.304748571,0.07871375,3.779411765,0.461267807,0.075217114,0.01319673,-0.0272373694540067,0.543947609032937,0.721993012526577,-0.369194596343854,-0.220416094441984,-0.739531736174481,-1.26142933285214,2.79585453276011
"37",1073,"Alabama","Jefferson",0.331402283,0.303067285,0.061789818,3.302325581,0.200551043,0.076205399,0.013207879,0.79937515146235,0.508973483876012,0.200633568917836,-0.61662529734267,-1.58238278379408,-0.710845688345842,-1.26060332529123,3.0627420283533
"38",1075,"Alabama","Lamar",0.284432816,0.294412331,0.039431882,4.953703704,0.304036645,NA,0.00600717,-0.103912726205926,0.328933059805731,-0.48812605698942,0.239827185020556,-1.04178101891659,NA,-1.79408974361689,NA
"39",1077,"Alabama","Lauderdale",0.299435773,0.294390085,0.059454756,3.896,0.337373349,0.063558631,0.017549163,0.184614907869173,0.328470298331335,0.128699539337008,-0.308728563828721,-0.86763233862386,-1.07793189498229,-0.938966101499171,2.80887323207054
"40",1079,"Alabama","Lawrence",0.278931751,0.254469854,0.072179004,4.884955752,0.303994195,0.096449463,0.011322814,-0.209705822149834,-0.501950674238084,0.520683320506753,0.20417250767699,-1.04200277483698,-0.123239695995429,-1.40026409691262,3.59367387696271
"41",1081,"Alabama","Lee",0.290500935,0.254136924,0.057190837,4.666666667,0.642093422,0.074647719,0.021814587,0.012785603220477,-0.508876286827789,0.0589571443536644,0.0909614713206325,0.72420465196927,-0.756059045810252,-0.622949196441584,1.11888994692291
"42",1083,"Alabama","Limestone",0.247689999,0.286048641,0.066522758,4.613445378,0.477039683,0.106836842,0.018451798,-0.81052796600594,0.154951511851533,0.346436740724101,0.0633593707212769,-0.138024884106957,0.178265285673016,-0.872091643274935,1.77050506586611
"43",1085,"Alabama","Lowndes",0.365394533,0.33151184,0.079680248,2.427536232,0.483076326,NA,0.002840909,1.45309317980765,1.10067735020395,0.751766995282414,-1.07031636849171,-0.106489870572075,NA,-2.02867181607312,NA
"44",1087,"Alabama","Macon",0.36757287,0.301269205,0.064461883,3.21,0.403747696,0.05280567,0.004415152,1.49498561613391,0.471569808973488,0.282949328735731,-0.664508015377852,-0.520897252415528,-1.39004829212025,-1.91203923730286,2.80388670084481
"45",1089,"Alabama","Madison",0.305134193,0.26142596,0.042129171,4.477876106,0.361169436,0.073113872,0.027173779,0.294203413692806,-0.357249700192719,-0.405033245443499,-0.00695077685754937,-0.7433231943491,-0.800580624508516,-0.225897163759867,1.43476480053145
