year,state,state_po,office,candidate,party_detailed,candidatevotes,totalvotes,percentage,
2008,GEORGIA,GA,US PRESIDENT,"BARR, BOB",LIBERTARIAN,28731,3924486,0.007320959,
2012,GEORGIA,GA,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,45324,3897839,0.011627982,
2016,GEORGIA,GA,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,125306,4114732,0.030453016,
2020,GEORGIA,GA,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,62229,4999960,0.0124459,
2008,HAWAII,HI,US PRESIDENT,"BARR, BOB",LIBERTARIAN,1314,456064,0.002881175,
2012,HAWAII,HI,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,3840,437159,0.008783989,
2016,HAWAII,HI,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,15954,437664,0.036452621,
2020,HAWAII,HI,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,5539,579784,0.009553558,
2008,IDAHO,ID,US PRESIDENT,"BARR, BOB",LIBERTARIAN,3658,655122,0.005583693,
2012,IDAHO,ID,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,9453,652274,0.014492376,
2016,IDAHO,ID,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,28331,690255,0.041044252,
2020,IDAHO,ID,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,16404,868014,0.018898313,
2008,ILLINOIS,IL,US PRESIDENT,"BARR, BOB",LIBERTARIAN,19642,5522371,0.003556806,
2012,ILLINOIS,IL,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,56229,5242014,0.010726602,
2016,ILLINOIS,IL,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,209596,5536424,0.03785765,
2020,ILLINOIS,IL,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,66544,6033743,0.011028643,
2008,INDIANA,IN,US PRESIDENT,"BARR, BOB",LIBERTARIAN,29257,2751054,0.010634833,
2012,INDIANA,IN,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,50111,2624534,0.019093294,
2016,INDIANA,IN,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,133993,2734958,0.048992708,
2020,INDIANA,IN,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,59232,3033118,0.019528419,
2008,IOWA,IA,US PRESIDENT,"BARR, BOB",LIBERTARIAN,4590,1537123,0.002986098,
2012,IOWA,IA,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,12926,1582180,0.00816974,
2016,IOWA,IA,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,59186,1565580,0.03780452,
2020,IOWA,IA,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,19637,1700130,0.011550293,
2008,KANSAS,KS,US PRESIDENT,"BARR, BOB",LIBERTARIAN,6706,1235872,0.005426128,
2012,KANSAS,KS,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,20456,1159971,0.017634924,
2016,KANSAS,KS,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,55406,1184402,0.046779725,
2020,KANSAS,KS,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,30574,1372303,0.022279336,
2008,KENTUCKY,KY,US PRESIDENT,"BARR, BOB",LIBERTARIAN,5989,1826620,0.003278733,
2012,KENTUCKY,KY,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,17063,1797212,0.00949415,
2016,KENTUCKY,KY,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,53752,1924149,0.027935467,
2020,KENTUCKY,KY,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,26234,2136768,0.012277421,
2008,LOUISIANA,LA,US PRESIDENT,,LIBERTARIAN,0,265853,0,ADDED BY EW 03/08/2024
2012,LOUISIANA,LA,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,18157,1994065,0.009105521,
2016,LOUISIANA,LA,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,37978,2029032,0.0187173,
2020,LOUISIANA,LA,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,21645,2148062,0.010076525,
2008,MAINE,ME,US PRESIDENT,,OTHER,431,731163,0.000589472,ADDED BY EW 03/08/2024
2012,MAINE,ME,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,9352,724758,0.012903617,
2016,MAINE,ME,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,38105,771892,0.049365714,
2020,MAINE,ME,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,14152,828305,0.017085494,
2008,MARYLAND,MD,US PRESIDENT,"BARR, BOB",LIBERTARIAN,9842,2631596,0.003739936,
2012,MARYLAND,MD,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,30195,2707327,0.011153067,
2016,MARYLAND,MD,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,79605,2781446,0.028620006,
2020,MARYLAND,MD,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,33488,3037030,0.011026562,
2008,MASSACHUSETTS,MA,US PRESIDENT,"BARR, BOB",LIBERTARIAN,13189,3102995,0.00425041,
2012,MASSACHUSETTS,MA,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,30920,3184196,0.009710458,
2016,MASSACHUSETTS,MA,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,138018,3378821,0.040847976,
