"","county_fips","state","county_name","self_employed","divorce_marriage","living_alone","living_alone_65over","living_grandchildren","carpool_drive_alone","libertarian_vote16","religious_adherents","prev_score"
"1327",27021,"Minnesota","Cass",0.145607146,0.234517841,0.286732895,0.146450889,0.02552126,0.141631822,0.025876617,0.239173818,-2.17495974272624
"1328",27023,"Minnesota","Chippewa",0.121693122,0.226027397,0.363042643,0.175950826,0.026265702,0.121887855,0.033590485,0.775916812,NA
"1329",27025,"Minnesota","Chisago",0.089824538,0.143696091,0.204437856,0.102721056,0.027497809,0.11661059,0.040128358,0.345578496,-1.10102093616748
"1330",27027,"Minnesota","Clay",0.071067318,0.186851912,0.313852305,0.12158984,0.018485842,0.111551309,0.050547656,0.462766772,-3.40462991192363
"1331",27029,"Minnesota","Clearwater",0.124035281,0.214732651,0.28379224,0.157697121,0.024725785,0.124264706,0.022143698,0.539300798,NA
"1332",27031,"Minnesota","Cook",0.205146036,0.192876344,0.33757485,0.137350299,0.015800814,0.140024038,0.030927835,0.30625,NA
"1333",27033,"Minnesota","Cottonwood",0.143942201,0.22688728,0.303056579,0.157381314,0.020053288,0.097922849,0.026219192,0.613093688,NA
"1334",27035,"Minnesota","Crow Wing",0.127993528,0.200425447,0.303258591,0.137841583,0.014119975,0.121403449,0.032754869,0.435415816,-2.09928291146566
"1335",27037,"Minnesota","Dakota",0.074677793,0.184239688,0.250655238,0.108043494,0.021355942,0.10399201,0.042684929,0.525497747,-0.658216771067943
"1336",27039,"Minnesota","Dodge",0.102088978,0.155017372,0.21528044,0.086878753,0.011507843,0.13559517,0.042613103,0.594000096,-2.32558844333347
"1337",27041,"Minnesota","Douglas",0.125801201,0.167516158,0.289241827,0.131810805,0.011568521,0.082145151,0.035850356,0.588550479,-3.00976548114797
"1338",27043,"Minnesota","Faribault",0.159674844,0.195856574,0.30985681,0.15001665,0.008540541,0.084431249,0.036562331,0.742690899,NA
"1339",27045,"Minnesota","Fillmore",0.13926517,0.179734868,0.271158392,0.138888889,0.015063132,0.134797868,0.036996834,0.736904089,-2.42013151851786
"1340",27047,"Minnesota","Freeborn",0.115549507,0.230670927,0.316446858,0.161753297,0.025403246,0.091855899,0.031836023,0.588379997,-1.17900345906616
"1341",27049,"Minnesota","Goodhue",0.099078437,0.213257449,0.315489227,0.139000662,0.016454438,0.085345788,0.043939806,0.650056744,-1.44239580759787
"1342",27051,"Minnesota","Grant",0.204607978,0.212536023,0.297637795,0.146850394,0.019350037,0.079592781,0.045781745,0.816101416,NA
"1343",27053,"Minnesota","Hennepin",0.087906836,0.209666614,0.331881617,0.113390759,0.016575165,0.10360166,0.035883567,0.511603391,-2.82212886185076
"1344",27055,"Minnesota","Houston",0.1037576,0.187695154,0.299576482,0.132162431,0.009602413,0.106905104,0.03715579,0.621132516,NA
"1345",27057,"Minnesota","Hubbard",0.147488013,0.201632166,0.27443609,0.141490089,0.018173188,0.119094213,0.029726206,0.337987256,-2.26839315919202
"1346",27059,"Minnesota","Isanti",0.113429439,0.232701504,0.24646802,0.122142307,0.026357949,0.092242424,0.036400837,0.200850857,-1.50804558445626
"1347",27061,"Minnesota","Itasca",0.101770833,0.238021792,0.28971911,0.159924949,0.016452074,0.145513,0.033165829,0.394521704,-1.51933139743337
"1348",27063,"Minnesota","Jackson",0.145651348,0.191189427,0.345251651,0.154862218,0.015445185,0.104907361,0.033005106,0.709880869,NA
"1349",27065,"Minnesota","Kanabec",0.120480355,0.244694132,0.270635164,0.138539429,0.023566524,0.144254279,0.036443684,0.264471058,NA
"1350",27067,"Minnesota","Kandiyohi",0.110481076,0.156602796,0.261618403,0.119687062,0.020713378,0.123509221,0.042577623,0.674860514,-1.50980434679903
