"","county_fips","state","county","self_employed","divorce_marriage","living_alone","living_alone_65over","living_grandchildren","carpool_drive_alone","religious_adherents","libertarian_vote16","prev_score","living_alone_reverse","living_alone_65over_reverse","divorce_marriage_reverse","libertarian_vote16_reverse","self_employed_reverse","county_collectivism_raw","county_collectivism_score"
"1473",29061,"Missouri","Daviess",0.16739967,0.195764463,0.25397878,0.12566313,0.038409573,0.17110415,0.64911032,0.038790797,NA,0.74602122,0.87433687,5.10817941456514,0.961209203,0.83260033,1.6703252638711,34.0009167090309
"1474",29063,"Missouri","DeKalb",0.143462898,0.315496873,0.315746972,0.188694482,0.010818379,0.103764922,0.255236195,0.038746191,NA,0.684253028,0.811305518,3.16960352250464,0.961253809,0.856537102,-6.51630438702061,16.0920841668183
"1475",29065,"Missouri","Dent",0.094572636,0.309019221,0.335622318,0.180944206,0.033627575,0.087322251,0.434089176,0.020026506,NA,0.664377682,0.819055794,3.23604466014753,0.979973494,0.905427364,-2.3415974696239,25.2245514072694
"1476",29067,"Missouri","Douglas",0.141344383,0.271031595,0.264514731,0.158362218,0.034962406,0.107194873,0.3095526,0.020252025,NA,0.735485269,0.841637782,3.6896067412362,0.979747975,0.858655617,-1.33271318270636,27.4315572838462
"1477",29069,"Missouri","Dunklin",0.108032238,0.361406804,0.300790372,0.152505838,0.045095168,0.180318278,0.432415232,0.013424088,0.75428558413972,0.699209628,0.847494162,2.76696506245079,0.986575912,0.891967762,1.38018781777339,33.3662204838483
"1478",29071,"Missouri","Franklin",0.088630367,0.212856895,0.259780304,0.127047601,0.035285836,0.122658889,0.509275711,0.03248658,1.75676800054305,0.740219696,0.872952399,4.69799204766188,0.96751342,0.911369633,1.58608179348081,33.8166281472746
"1479",29073,"Missouri","Gasconade",0.126968641,0.269647898,0.283249581,0.135845896,0.034535143,0.096377422,0.516628363,0.024157831,NA,0.716750419,0.864154104,3.70853994196536,0.975842169,0.873031359,-0.199060254179698,29.9115034062119
"1480",29075,"Missouri","Gentry",0.145305248,0.19025522,0.336173839,0.164039199,0.02565445,0.105387524,0.730282376,0.035491291,NA,0.663826161,0.835960801,5.25609757251338,0.964508709,0.854694752,-1.64059014698276,26.7580546054601
"1481",29077,"Missouri","Greene",0.089156477,0.243206,0.332204502,0.122196035,0.022178461,0.10514567,0.478922102,0.04452492,-2.84430375094423,0.667795498,0.877803965,4.11174066429282,0.95547508,0.910843523,-2.05131506295649,25.8595647439715
"1482",29079,"Missouri","Grundy",0.128051819,0.260280843,0.335260116,0.178665265,0.021714286,0.085377509,0.727059543,0.0266486,NA,0.664739884,0.821334735,3.8420038465912,0.9733514,0.871948181,-2.31757880611852,25.2770939358738
"1483",29081,"Missouri","Harrison",0.128334321,0.30740276,0.31629605,0.147361434,0.010853008,0.083458084,0.513178865,0.026294389,NA,0.68370395,0.852638566,3.25306122820758,0.973705611,0.871665679,-3.14596206354091,23.4649468533031
"1484",29083,"Missouri","Henry",0.136695349,0.286659436,0.306243913,0.165674711,0.027850908,0.093766439,0.493666272,0.0315224,-2.34495843386857,0.693756087,0.834325289,3.48846008334433,0.9684776,0.863304651,-2.84161730972195,24.1307225709882
"1485",29085,"Missouri","Hickory",0.104705882,0.330478994,0.415525114,0.262271689,0.036929994,0.180266667,0.33216572,0.022861981,NA,0.584474886,0.737728311,3.02591092975791,0.977138019,0.895294118,-5.27278452483888,18.8123719927495
"1486",29087,"Missouri","Holt",0.143608627,0.252593361,0.333142202,0.208142202,0.052955244,0.119815668,0.569026758,0.028025478,NA,0.666857798,0.791857798,3.95893223812798,0.971974522,0.856391373,-1.86353476541907,26.2703474526969
"1487",29089,"Missouri","Howard",0.092150961,0.232476046,0.24358209,0.130149254,0.015666227,0.141935484,0.481233376,0.042933443,NA,0.75641791,0.869850746,4.30151844547459,0.957066557,0.907849039,-0.158100138378333,30.001106562343
"1488",29091,"Missouri","Howell",0.104032106,0.265403994,0.297155446,0.143523618,0.036374526,0.135415032,0.417408805,0.024863936,-0.132567915094428,0.702844554,0.856476382,3.76784081101658,0.975136064,0.895967894,0.04358158355014,30.4422996221083
"1489",29093,"Missouri","Iron",0.161010462,0.291717867,0.275320597,0.120649045,0.037019608,0.15131793,0.366572297,0.025767159,NA,0.724679403,0.879350955,3.42796966906384,0.974232841,0.838989538,-0.23384106581236,29.835417915873
"1490",29095,"Missouri","Jackson",0.075209707,0.30952477,0.352422819,0.112071273,0.029090741,0.08512313,0.511950575,0.041136921,-1.67839762536873,0.647577181,0.887928727,3.2307592054749,0.958863079,0.924790293,-1.84710656251038,26.3062853108152
"1491",29097,"Missouri","Jasper",0.085420548,0.307996351,0.28499821,0.123628399,0.038929777,0.120122976,0.496379143,0.036440012,0.0742897332623416,0.71500179,0.876371601,3.24679171280182,0.963559988,0.914579452,0.360163676596777,31.1348453866059
"1492",29099,"Missouri","Jefferson",0.06584173,0.235448348,0.229980915,0.102006824,0.033426801,0.082655769,0.351576041,0.037350101,1.73015583846059,0.770019085,0.897993176,4.24721603907792,0.962649899,0.93415827,1.06240816231688,32.6710549667087
"1493",29101,"Missouri","Johnson",0.096780928,0.176522754,0.270411876,0.083782079,0.0449426,0.113600446,0.292596227,0.052053757,-2.76283033187476,0.729588124,0.916217921,5.66499206102348,0.947946243,0.903219072,0.693565244561651,31.8641849444719
"1494",29103,"Missouri","Knox",0.189749847,0.274725275,0.349220104,0.204506066,0.024718127,0.050086356,0.650106838,0.028342246,NA,0.650779896,0.795493934,3.63999999636,0.971657754,0.810250153,-5.59478134144294,18.1079811367322
"1495",29105,"Missouri","Laclede",0.091565178,0.244971031,0.257581039,0.127431161,0.035124803,0.141039151,0.55306751,0.026540402,0.512294051380109,0.742418961,0.872568839,4.08211532570968,0.973459598,0.908434822,2.24211066505414,35.2517377961622
"1496",29107,"Missouri","Lafayette",0.081196581,0.266152934,0.233045623,0.114426634,0.033110368,0.108951613,0.55875576,0.037666919,1.10087995239402,0.766954377,0.885573366,3.75723831021153,0.962333081,0.918803419,1.62644499619588,33.9049255137266
"1497",29109,"Missouri","Lawrence",0.102406033,0.281735543,0.28252102,0.14566956,0.038529273,0.152285485,0.526986132,0.028238109,0.561147053153921,0.71747898,0.85433044,3.54942791155037,0.971761891,0.897593967,0.930366533516267,32.3822045460067
"1498",29111,"Missouri","Lewis",0.08049678,0.266628766,0.353860018,0.156803845,0.019815511,0.143110585,0.468500797,0.028500898,NA,0.646139982,0.843196155,3.75053305388662,0.971499102,0.91950322,-1.73852732952668,26.5438100779036
"1499",29113,"Missouri","Lincoln",0.07703286,0.198020544,0.199307864,0.102226675,0.024828081,0.100207057,0.291033001,0.032369201,0.702669522579277,0.800692136,0.897773325,5.04998107671091,0.967630799,0.92296714,1.67719210600764,34.0159384128531
"1500",29115,"Missouri","Linn",0.132777072,0.243095998,0.281583909,0.152734129,0.028712607,0.090182141,0.738925383,0.030785753,NA,0.718416091,0.847265871,4.11360124488763,0.969214247,0.867222928,-0.319109730702965,29.6488866684923
"1501",29117,"Missouri","Livingston",0.110605075,0.271569293,0.297272561,0.141863445,0.019688894,0.087223823,0.569554166,0.033172403,NA,0.702727439,0.858136555,3.6823014448839,0.966827597,0.889394925,-1.71714251865983,26.5905908672019
"1502",29119,"Missouri","McDonald",0.10635646,0.255114442,0.235147041,0.085129182,0.053960884,0.130193906,0.390722225,0.023173987,NA,0.764852959,0.914870818,3.91980944771445,0.976826013,0.89364354,3.73234559372966,38.5117323145778
"1503",29121,"Missouri","Macon",0.113161876,0.244364993,0.336696306,0.159028728,0.017711031,0.12932674,0.641133539,0.022932774,NA,0.663303694,0.840971272,4.09223918583134,0.977067226,0.886838124,-1.01062909016104,28.1361390621701
"1504",29123,"Missouri","Madison",0.082217262,0.158484525,0.243470753,0.14008202,0.043899371,0.144995323,0.526374149,0.02819019,NA,0.756529247,0.85991798,6.30976431295106,0.97180981,0.917782738,3.75216269015155,38.5550836174249
"1505",29125,"Missouri","Maries",0.112786153,0.218228498,0.340644087,0.146307607,0.025017743,0.198163734,0.441650854,0.024444444,NA,0.659355913,0.853692393,4.58235294273986,0.975555556,0.887213847,-0.00140552761687456,30.3438871282244
"1506",29127,"Missouri","Marion",0.075817977,0.256656108,0.305533422,0.140061974,0.01733711,0.121826923,0.480210342,0.029370846,-0.224079779583781,0.694466578,0.859938026,3.89626417930408,0.970629154,0.924182023,-0.731017343081293,28.7478095748018
"1507",29129,"Missouri","Mercer",0.15616622,0.231950845,0.335993615,0.163607342,0.058611362,0.178977273,0.80384398,0.015472779,NA,0.664006385,0.836392658,4.31125827543331,0.984527221,0.84383378,2.7524135676632,36.3680615604398
"1508",29131,"Missouri","Miller",0.096652315,0.232842686,0.306642942,0.13503361,0.0334049,0.11827125,0.517312515,0.024789769,0.888970302347531,0.693357058,0.86496639,4.29474516541181,0.975210231,0.903347685,0.555345168156984,31.5618187317737
"1509",29133,"Missouri","Mississippi",0.087197232,0.349638947,0.308759757,0.173243712,0.035574618,0.133526012,0.466247913,0.01528342,NA,0.691240243,0.826756288,2.86009327216055,0.98471658,0.912802768,-0.213014464787494,29.8809775815819
"1510",29135,"Missouri","Moniteau",0.122786129,0.265220759,0.290282903,0.185204709,0.011214354,0.159317485,0.48322885,0.025915081,NA,0.709717097,0.814795291,3.77044392667619,0.974084919,0.877213871,-2.0866758461158,25.7822105248158
"1511",29137,"Missouri","Monroe",0.146985274,0.250661026,0.326131387,0.180729927,0.023809524,0.109528654,0.656012001,0.027430221,NA,0.673868613,0.819270073,3.9894514753961,0.972569779,0.853014726,-2.38641134988012,25.1265178682796
"1512",29139,"Missouri","Montgomery",0.118323587,0.23095191,0.300172265,0.148148148,0.03444564,0.133774161,0.3881823,0.024682262,NA,0.699827735,0.851851852,4.32990573665314,0.975317738,0.881676413,-0.426366943208608,29.4142539148904
"1513",29141,"Missouri","Morgan",0.178746453,0.299942029,0.314705882,0.183887468,0.026038661,0.271694417,0.420927354,0.022899898,-0.297185146928411,0.685294118,0.816112532,3.33397758004764,0.977100102,0.821253547,-1.09498904458812,27.9515956833282
"1514",29143,"Missouri","New",0.106933744,0.383573846,0.331363569,0.167528438,0.026374479,0.090255304,0.568820737,0.014408047,NA,0.668636431,0.832471562,2.6070599193043,0.985591953,0.893066256,-1.69327207351769,26.6428091576325
"1515",29145,"Missouri","Newton",0.138601961,0.200576774,0.244554591,0.125187577,0.029849111,0.14225094,0.49689674,0.02409231,1.62484787509026,0.755445409,0.874812423,4.98562211395423,0.97590769,0.861398039,1.66413050446788,33.987365233818
"1516",29147,"Missouri","Nodaway",0.130995204,0.203701273,0.326352742,0.140297785,0.017922101,0.106759395,0.518054706,0.04239797,-4.40885420118061,0.673647258,0.859702215,4.90914948774032,0.95760203,0.869004796,-2.72972800848908,24.375488346954
"1517",29149,"Missouri","Oregon",0.18114374,0.276358224,0.259237363,0.148980195,0.03860262,0.132485644,0.595830921,0.018851757,NA,0.740762637,0.851019805,3.61849191793909,0.981148243,0.81885626,0.451838562671699,31.3353906968317
"1518",29151,"Missouri","Osage",0.116736152,0.118395155,0.26532567,0.120498084,0.003726409,0.160462874,0.629576616,0.025669958,NA,0.73467433,0.879501916,8.44629157333338,0.974330042,0.883263848,2.94137228092783,36.781422137082
"1519",29153,"Missouri","Ozark",0.183927371,0.161297745,0.3106185,0.16392994,0.036989386,0.126485972,0.278148018,0.015538291,NA,0.6893815,0.83607006,6.19971469532944,0.984461709,0.816072629,-1.32241503084146,27.4540852208737
"1520",29155,"Missouri","Pemiscot",0.110014358,0.3537144,0.313784861,0.135458167,0.039892183,0.132063075,0.626907605,0.013107682,NA,0.686215139,0.864541833,2.82713963581918,0.986892318,0.889985642,1.4757331717651,33.5752327169396
"1521",29157,"Missouri","Perry",0.102946044,0.161978546,0.284349843,0.130986492,0.029514757,0.104023806,0.699461912,0.026430206,NA,0.715650157,0.869013508,6.17365709653919,0.973569794,0.897053956,2.23628434087593,35.2389922991147
"1522",29159,"Missouri","Pettis",0.145386027,0.237608183,0.268447532,0.110984667,0.035612095,0.112901227,0.525942299,0.040583071,-1.24363791068122,0.731552468,0.889015333,4.20860926325925,0.959416929,0.854613973,-0.173962149064721,29.9664072898366
"1523",29161,"Missouri","Phelps",0.091032822,0.265205092,0.298871968,0.11821771,0.032481594,0.187286446,0.391863435,0.040424729,0.157168888240931,0.701128032,0.88178229,3.77066666578182,0.959575271,0.908967178,0.376743800867321,31.1711155834698
"1524",29163,"Missouri","Pike",0.108973395,0.332274827,0.279372126,0.136197875,0.02892451,0.12102026,0.461363507,0.028176646,NA,0.720627874,0.863802125,3.00955690513383,0.971823354,0.891026605,-0.590102648061463,29.0560704566865
"1525",29165,"Missouri","Platte",0.090444107,0.209151439,0.249166784,0.090667981,0.024965785,0.084736568,0.283035664,0.046252546,-1.13064978592695,0.750833216,0.909332019,4.78122457479243,0.953747454,0.909555893,-0.679097423024456,28.8613880794557
"1526",29167,"Missouri","Polk",0.13995566,0.232441963,0.25180039,0.134965687,0.034549446,0.105167888,0.393762492,0.034803459,-0.485517242569988,0.74819961,0.865034313,4.30214917777131,0.965196541,0.86004434,-0.822851527974164,28.5469157871223
