county_fips,candidatevotes,totalvotes
12011,333409,957672
12013,5274,6526
12015,73243,116340
12017,65352,93208
12019,84480,124405
12021,128950,207818
12023,23836,33042
12027,8313,12659
12029,6759,8167
12031,233762,492820
12033,96674,170372
12035,43043,71716
12037,4675,6849
12039,7465,23762
12041,7895,9685
12043,3782,5193
12045,6113,8163
12047,3815,5830
12049,6122,8485
12051,7906,12940
12053,70412,108922
12055,34873,52170
12057,327398,712063
12059,8080,9068
12061,58872,97484
12063,15488,22419
12065,4479,8451
12067,3128,3658
12069,125859,211314
12071,233247,393899
12073,57453,162929
12075,16749,23145
12077,2846,3561
12079,5576,9380
12081,124987,216958
12083,127826,204376
12085,61168,98726
12086,532833,1156816
12087,25693,48029
12089,42566,58811
12091,79798,116373
12093,11470,15954
12095,245398,647403
12097,73480,172436
12099,334711,773158
12101,179621,301970
12103,276209,559715
12105,194586,343256
12107,25514,36373
12109,110946,176622
12111,86831,172169
12113,77385,106928
12115,148370,270575
12117,125241,260815
12119,62761,92485
12121,16410,21057
12123,7751,10127
12125,5133,6245
12127,173821,307439
12129,12874,18404
12131,32947,43711
12133,9876,12327
13001,890,8341
13001,3874,8341
13001,1753,8341
13001,9,8341
13003,164,3155
13003,1419,3155
13003,716,3155
13003,1,3155
13005,487,4668
13005,3099,4668
13005,431,4668
13005,1,4668
13007,138,1555
13007,466,1555
13007,291,1555
13007,2,1555
13009,1290,18251
13009,5736,18251
13009,1873,18251
13009,4,18251
13011,1025,8801
13011,5116,8801
13011,1644,8801
13011,10,8801
13013,4134,37921
13013,16782,37921
13013,5885,37921
13013,3,37921
13015,5976,50467
13015,21499,50467
13015,10179,50467
13015,20,50467
13017,528,6560
13017,3140,6560
13017,441,6560
13017,1,6560
13019,749,7743
13019,3825,7743
13019,1835,7743
13019,10,7743
13021,5375,70802
13021,13234,70802
13021,7922,70802
13021,54,70802
13023,614,5706
13023,2770,5706
13023,942,5706
13023,2,5706
13025,685,7746
13025,4307,7746
13025,1992,7746
13025,7,7746
13027,519,7100
13027,2312,7100
13027,1423,7100
13027,6,7100
13029,1588,21340
13029,10072,21340
13029,2579,21340
13029,5,21340
13031,2800,30084
13031,8910,30084
13031,6653,30084
13031,23,30084
13033,649,10684
13033,2802,10684
13033,1949,10684
13033,0,10684
13035,1137,11771
13035,6443,11771
13035,824,11771
13035,2,11771
13037,150,2194
13037,494,2194
13037,279,2194
13037,0,2194
13039,2161,23688
13039,9465,23688
13039,3621,23688
13039,4,23688
13043,375,4431
13043,2327,4431
13043,431,4431
13043,0,4431
13045,4699,54474
13045,21676,54474
13045,11071,54474
13045,30,54474
13047,2952,32593
13047,17025,32593
13047,5170,32593
13047,20,32593
13049,397,4566
13049,1896,4566
13049,1124,4566
13049,2,4566
13051,11781,133420
13051,23014,133420
13051,18346,133420
13051,96,133420
