"","state","self_employed","divorce_marriage","living_alone","living_alone_65over","living_grandchildren","carpool_drive_alone","libertarian20","religious_adherents","living_alone_reverse","living_alone_65over_reverse","divorce_marriage_reverse","libertarian20_reverse","self_employed_reverse","state_collectivism_raw","state_collectivism_score"
"35","North Dakota",0.1097655,0.18600372,0.33231054,0.11754854,0.01603993,0.104621618,0.025960494,0.550186499,0.66768946,0.88245146,5.37623656129028,0.974039506,0.8902345,-4.12228304448952,24.4411101512404
"36","Ohio",0.0792983,0.25337377,0.31445515,0.12882093,0.02758946,0.097553584,0.011409439,0.478517131,0.68554485,0.87117907,3.94673844889311,0.988590561,0.9207017,-1.92211310555202,34.8060985695867
"37","Oklahoma",0.10414697,0.26231534,0.29128968,0.11959393,0.03536459,0.118019964,0.015846105,0.611747172,0.70871032,0.88040607,3.81220556906813,0.984153895,0.89585303,0.24999444714768,45.0388852415142
"38","Oregon",0.11224505,0.26222709,0.27985781,0.12108103,0.02589895,0.130160444,0.017513217,0.331812144,0.72014219,0.87891897,3.81348853011335,0.982486783,0.88775495,-3.94948689926519,25.2551518360613
"39","Pennsylvania",0.07994228,0.20315637,0.30261025,0.13300795,0.02752297,0.108743472,0.011478923,0.468929145,0.69738975,0.86699205,4.92231673562586,0.988521077,0.92005772,0.0667959321232838,44.1758380500763
"40","Rhode Island",0.0827663,0.24935387,0.3045308,0.13232644,0.02751476,0.099844423,0.009773883,0.515091869,0.6954692,0.86767356,4.01036486820918,0.990226117,0.9172337,-1.1990451429032,38.2124677440296
"41","South Carolina",0.09545491,0.21994665,0.29111332,0.1190553,0.03556011,0.106751242,0.011103792,0.526704992,0.70888668,0.8809447,4.54655708554779,0.988896208,0.90454509,1.43127629286324,50.6038974857763
"42","South Dakota",0.12194821,0.20762818,0.30805394,0.1229989,0.02251045,0.099447764,0.026253582,0.553788514,0.69194606,0.8770011,4.81630191046321,0.973746418,0.87805179,-4.95092506300064,20.5373821833132
"43","Tennessee",0.09476166,0.24777507,0.28934695,0.11544736,0.03643176,0.108093049,0.009783385,0.556366086,0.71065305,0.88455264,4.03591854499325,0.990216615,0.90523834,1.70396249213411,51.8885206629526
"44","Texas",0.10255327,0.2066149,0.25673699,0.08571931,0.04347823,0.129499678,0.011157081,0.550530142,0.74326301,0.91428069,4.83992199981705,0.988842919,0.89744673,7.23464444522752,77.943532766724
"45","Utah",0.0946384,0.15870356,0.19897744,0.07544652,0.03714134,0.139068672,0.02583302,0.760960638,0.80102256,0.92455348,6.30105588053601,0.97416698,0.9053616,11.9165576521847,100
"46","Vermont",0.13095362,0.26151074,0.31011292,0.14397159,0.01795876,0.114670316,0.009725906,0.37634218,0.68988708,0.85602841,3.82393472635197,0.990274094,0.86904638,-7.4858972166603,8.5951423824178
"47","Virginia",0.08477112,0.20323616,0.27976038,0.11148023,0.03304138,0.117283018,0.014518698,0.459984269,0.72023962,0.88851977,4.92038424658289,0.985481302,0.91522888,2.45121096684719,55.4088040960443
"48","Washington",0.09689729,0.22356771,0.26965749,0.10524282,0.0295336,0.134644683,0.019693558,0.413320552,0.73034251,0.89475718,4.47291784667831,0.980306442,0.90310271,0.694967965448537,47.135153026123
"49","West Virginia",0.06651617,0.27844709,0.31186666,0.14598207,0.03415996,0.102007301,0.013448654,0.377781656,0.68813334,0.85401793,3.5913465642611,0.986551346,0.93348383,-3.35771690787646,28.0429769937995
"50","Wisconsin",0.08448835,0.21970115,0.3074874,0.12528283,0.01801201,0.095468986,0.011670868,0.480442736,0.6925126,0.87471717,4.55163753125553,0.988329132,0.91551165,-2.07609143238655,34.0807075231629
"51","Wyoming",0.11771653,0.23211342,0.30319958,0.12451528,0.02183056,0.125508046,0.020710728,0.403944866,0.69680042,0.87548472,4.30823861886142,0.979289272,0.88228347,-4.94274795005733,20.5759045171807
